"id","loannumber","borrowername","borroweraddress","borrowercity","borrowerstate","borrowerzip","loanstatusdate","loanstatus","initialapprovalamount","currentapprovalamount","currentapprovalamount-2","servicinglendername","hubzoneindicator","businessagedescription","jobsreported","naicscode","lmiindicator","businesstype","forgivenessamount","forgivenessdate"
106926,4138317702,"BB PAINT DISTRIBUTORS INC-SBA SMALL 7A TERM","740 SOUTHERN BLVD","Bronx","NY","10455","06/30/2021","Paid in Full",50660,50660,50660,"TD Bank, National Association","Y","Existing or more than 2 years old",5,424950,"Y","Subchapter S Corporation",51046.97,"03/22/2021"
107980,4378757704,"MATTE GRAPHICS , LLC","225 Bruckner Blvd","Bronx","NY","10454","11/23/2021","Paid in Full",50185.3,50185,50185,"TD Bank, National Association","Y","Existing or more than 2 years old",5,541430,"Y","Limited  Liability Company(LLC)",50928.02,"10/22/2021"
108085,9300877403,"PROSPECT SUPERMARKET OF NY INC","795 Prospect Av.","Bronx","NY","10455","11/23/2021","Paid in Full",50107,50107,50107,"TD Bank, National Association","Y","Existing or more than 2 years old",11,445110,"Y","Corporation",50837.73,"10/28/2021"
110487,3391567706,"THE EVERGREEN ASSOCIATION INC-SBA SMALL 7A TERM","344 East 149th St.","Bronx","NY","10451","06/30/2021","Paid in Full",49414,49414,49414,"TD Bank, National Association","Y","Existing or more than 2 years old",5,NULL,"Y","Sole Proprietorship",49913.63,"05/06/2021"
110777,2946488310,"COALITION ON POSITIVE HEALTH EMPOWERMENT","790 Concourse Vlg W Apt 19A","Bronx","NY","10451-3803","07/21/2021","Paid in Full",49297,49297,49297,"Grow America Fund, Incorporated","Y","Existing or more than 2 years old",5,525120,"N","501(c)3 – Non Profit",49490.08,"06/14/2021"
111359,2158667308,"LCS RESTORATION CORP","725 East 135th Street","Bronx","NY","10454","11/19/2021","Paid in Full",49050,49050,49050,"Santander Bank, National Association","Y","Existing or more than 2 years old",7,238990,"Y","Corporation",49747.45,"10/06/2021"
113353,6165918009,"614 MELROSE RESTAURANT CORP","614 Melrose Ave","Bronx","NY","10455-2627","04/19/2022","Paid in Full",48210,48210,48210,"Popular Bank","Y","Existing or more than 2 years old",12,722511,"Y","Corporation",48654.67,"08/18/2021"
117242,7142857707,"JOHN KLAUDER PIPE ORGAN SERVICE, INC.","1020 Grand Concourse Apt 12 - J","Bronx","NY","10451","03/19/2021","Paid in Full",46700,46700,46700,"Citibank, N.A.","Y","Existing or more than 2 years old",5,811490,"Y","Corporation",47048.95,"02/09/2021"
118586,4632448501,"M & A USA CORP","1307 Edward L Grant Hwy","Bronx","NY","10452-3145","12/14/2021","Paid in Full",46157,46157,46157,"Itria Ventures LLC","Y","Existing or more than 2 years old",11,236116,"Y","Corporation",46487.79,"11/16/2021"
119618,9859627105,"NEW YORK BOTTLING CO INC.","626 Whittier Street","Bronx","NY","10474","08/18/2021","Paid in Full",345000,45750.11,45750.11,"Hanover Community Bank","Y","Existing or more than 2 years old",35,312111,"Y","Corporation",46319.44,"07/27/2021"
120499,7078417709,"SPOILED ROTTEN USA","605 east 132nd street","Bronx","NY","10454","07/16/2021","Paid in Full",45400,45400,45400,"Citibank, N.A.","Y","Existing or more than 2 years old",10,315240,"Y","Subchapter S Corporation",45888.05,"06/02/2021"
120631,4239417707,"ALBATROSS FISH CORP-SBA SMALL 7A TERM","800 Food Center Drive unit 93","Bronx","NY","10474","06/30/2021","Paid in Full",45352,45352,45352,"TD Bank, National Association","Y","Existing or more than 2 years old",5,445220,"Y","Corporation",45786.62,"04/15/2021"
120652,5889198901,"J HARDWARE DISTRIBUTOR CORP","2800 3rd Ave","Bronx","NY","10455-4023","10/21/2021","Paid in Full",45340,45340,45340,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",5,423710,"Y","Corporation",45504.16,"09/15/2021"
120801,9913667108,"BLOCK STUDIO INC.","480 Austin Pl Building A","Bronx","NY","10455-5023","08/10/2021","Paid in Full",71445,45300,45300,"Celtic Bank Corporation","Y","Existing or more than 2 years old",5,236118,"Y","Subchapter S Corporation",45848.56,"07/14/2021"
123565,1538587305,"138 PETROLEUM LLC","115 E 138th St","Bronx","NY","10451","11/19/2021","Paid in Full",44400,44400,44400,"Capital One, National Association","Y","Existing or more than 2 years old",11,722513,"N","Limited  Liability Company(LLC)",45035.17,"10/12/2021"
124624,8187467205,"CHURCH OF CHRIST THE KING","141 Marcy Pl","Bronx","NY","10452-7402","02/18/2022","Paid in Full",44000,44000,44000,"Loan Source Incorporated","Y","Existing or more than 2 years old",6,813110,"Y","Corporation",44452.05,"05/26/2021"
124929,8534147307,"ULTIMATECH CAR WASH EQUIPMENT CORP","525 Tiffany Street","Bronx","NY","10474","03/18/2022","Paid in Full",43870,43870,43870,"Customers Bank","Y","Existing or more than 2 years old",13,333249,"Y","Corporation",44574.32,"12/09/2021"
133403,4794817305,"LOTUS JACKSON AVE GAS CORP","250 Jackson Avenue","Bronx","NY","10454","11/18/2021","Paid in Full",41500,41500,41500,"Capital One, National Association","Y","Existing or more than 2 years old",5,447110,"Y","Corporation",42100.6,"10/15/2021"
133644,4252737300,"MEDICAL MISSION HEALTH CARE PC","489 Brook Avenue","Bronx","NY","10455","12/01/2021","Paid in Full",41410,41410,41410,"WebBank","Y","Existing or more than 2 years old",6,621112,"Y","Corporation",42021.95,"10/15/2021"
134051,5857637204,"S&H BONDI'S DEPT. STORE INC.","1412 Jerome Ave","Bronx","NY","10452-3306","08/10/2021","Paid in Full",41259.5,41259.5,41259.5,"Ponce Bank","Y","Existing or more than 2 years old",10,452210,"Y","Corporation",41759.14,"07/22/2021"
135941,6058857307,"CUDLEYS TRAINING PROGRAM","391 East 149th street suite 521","Bronx","NY","10455","03/18/2022","Paid in Full",40635,40635,40635,"Customers Bank","Y","Existing or more than 2 years old",6,611519,"Y","Limited  Liability Company(LLC)",41312.99,"01/12/2022"
137919,2666517305,"1317 FLEET FUEL INC","1317 Oak Point Avenue","Bronx","NY","10474","06/19/2021","Paid in Full",40000,40000,40000,"Signature Bank","Y","Existing or more than 2 years old",6,424720,"Y","Corporation",40398.9,"05/05/2021"
138426,9158167204,"MANS LAUNDROMAT INC","675 Morris Avenue","Bronx","NY","10451","05/15/2021","Paid in Full",39982,39982,39982,"Celtic Bank Corporation","Y","Existing or more than 2 years old",7,621111,"Y","Corporation",40381.82,"04/30/2021"
138455,4245178710,"V&P USED PALLET INC","650 Longfellow Ave","Bronx","NY","10474-6509","10/20/2021","Paid in Full",39962,39962,39962,"TD Bank, National Association","Y","Existing or more than 2 years old",11,321920,"Y","Subchapter S Corporation",40140.72,"09/15/2021"
138920,7099527303,"CAPS UNLIMITED, INC.","16 East 170th Street","Bronx","NY","10452","07/17/2021","Paid in Full",39800,39800,39800,"Capital One, National Association","Y","Existing or more than 2 years old",11,448150,"Y","Corporation",40236.69,"06/22/2021"
139665,8250007309,"R&L SUNSET PRODUCE CORP.","1165 Garrison Ave","Bronx","NY","10474","06/19/2021","Paid in Full",39555,39555,39555,"WebBank","Y","Existing or more than 2 years old",6,445230,"Y","Corporation",39982.41,"05/26/2021"
141521,8411678407,"TEAMWORK FDN INC","478 Gerard Ave","Bronx","NY","10451-5339","11/19/2021","Paid in Full",38927,38927,38927,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",9,713990,"Y","501(c)3 – Non Profit",39187.68,"10/22/2021"
142138,4396617309,"INDOOR REMEDIATION SERVICES, LLC","301 Walton Avenue","Bronx","NY","10451-5483","06/06/2020","Paid in Full",38743,38743,38743,"Carver Federal Savings Bank","Y","Existing or more than 2 years old",6,562910,"Y","Limited  Liability Company(LLC)",39291.86,"09/29/2021"
144188,3995607205,"RICHARD L. GIAMPA, ESQ, P.C.","860 Grand Concourse, Suite 1H","Bronx","NY","10451","02/18/2022","Paid in Full",38100,38100,38100,"Loan Source Incorporated","Y","Existing or more than 2 years old",5,541110,"Y","Corporation",38534.24,"06/29/2021"
145866,5861387204,"COSMOS SEAFOOD","550 Casanova St","Bronx","NY","10474-6712","09/23/2021","Paid in Full",37592.5,37592.5,37592.5,"Ponce Bank","Y","Existing or more than 2 years old",7,424460,"Y","Subchapter S Corporation",38085.84,"08/30/2021"
148835,2686578806,"CARLOS GATES AND IRON WORKS INC.","474 E 146th St","Bronx","NY","10455-4134","02/18/2022","Paid in Full",36880,36880,36880,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",5,812990,"Y","Subchapter S Corporation",37138.02,"12/28/2021"
149958,3372808402,"DECOFULL MILLWORK INC","432 Austin Pl","Bronx","NY","10455-5006","09/25/2021","Paid in Full",36529,36529,36529,"Transportation Alliance Bank, Inc. d/b/a TAB Bank","Y","Existing or more than 2 years old",5,238350,"Y","Corporation",36702.51,"08/02/2021"
150079,4869837208,"SS PHARMA INC.","39-41 E 170 Street, #41","Bronx","NY","10452","07/15/2021","Paid in Full",36500,36500,36500,"Live Oak Banking Company","Y","Existing or more than 2 years old",6,446110,"Y","Corporation",36907,"06/10/2021"
150140,1881648107,"CAREPOINT PHARMACY CORP","888 Hunts point ave","Bronx","NY","10474","04/23/2021","Paid in Full",36497,36497,36497,"TD Bank, National Association","Y","Existing or more than 2 years old",5,561990,"Y","Corporation",36742.34,"03/22/2021"
152663,2422087703,"MAC E86 LLC","435 Longfellow Ave","Bronx","NY","10474","08/20/2021","Paid in Full",35743,35742.5,35742.5,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",5,999990,"Y","Limited  Liability Company(LLC)",36176.45,"07/22/2021"
155054,1204277208,"CROTONA PARK HOUSING LP","1325 LAFAYETTE AVE BSMT 1","Bronx","NY","10474","01/22/2021","Paid in Full",35035,35035,35035,"TD Bank, National Association","Y","Existing or more than 2 years old",9,531311,"Y","Partnership",35257.86,"12/09/2020"
155810,1758747710,"MISS GRIMBLE ASSOCIATES, INC.","909 E 135th St","Bronx","NY","10454","04/22/2021","Paid in Full",34960,34960,34960,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",5,311812,"Y","Corporation",35270.25,"03/24/2021"
157207,3702107401,"228 WILLIS AVENUE FOODS, LLC","228 Willis Avenue","Bronx","NY","10454","03/23/2022","Paid in Full",34544,34544,34544,"Cross River Bank","Y","Existing or more than 2 years old",8,722513,"Y","Limited  Liability Company(LLC)",35057.9,"11/17/2021"
158677,8257118306,"WILLIS CARE PHARMACY INC","208 Willis Ave","Bronx","NY","10454-4844","10/09/2021","Paid in Full",34152,34152,34152,"Manufacturers and Traders Trust Company","Y","Existing or more than 2 years old",5,446110,"Y","Corporation",34337.26,"08/26/2021"
164084,4087347209,"SOUTHERN BLVD. DEPOT, INC","748 Southern Blvd.","Bronx","NY","10455-2106","09/29/2021","Paid in Full",32670,32670,32670,"Popular Bank","Y","Existing or more than 2 years old",5,722330,"Y","Sole Proprietorship",33093.8,"08/16/2021"
167854,1573627310,"J&L YANKEE INC.","72 East 161 Street","Bronx","NY","10451","04/17/2021","Paid in Full",31790,31790,31790,"Santander Bank, National Association","Y","Existing or more than 2 years old",8,722511,"Y","Corporation",32048.67,"03/01/2021"
168936,1404347308,"ONE STOP LIVE MARKET, INC.","1230 Jerome Ave.","Bronx","NY","10452","02/19/2022","Paid in Full",31500,31500,31500,"Loan Source Incorporated","Y","Existing or more than 2 years old",5,446191,"Y","Corporation",31852.11,"06/24/2021"
168940,1504497206,"NETWORK SUPPORT SERVICES INC.","555 bergen ave","Bronx","NY","10455-1368","04/19/2022","Paid in Full",31500,31500,31500,"New York Business Development Corporation","Y","Existing or more than 2 years old",7,923120,"Y","Non-Profit Organization",31892.67,"07/23/2021"
169890,3099568509,"ECONOMY REFRIGERATION CORP","1234 Randall Ave","Bronx","NY","10474-6308","04/20/2022","Paid in Full",31272,31272,31272,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",5,423740,"Y","Corporation",31605.71,"03/24/2022"
170451,2050447800,"MADE IN PR LATIN CUISINE & SPORTS BAR CORP","26 Bruckner Blvd","Bronx","NY","10454","09/25/2021","Paid in Full",31200,31200,31200,"Capital One, National Association","Y","Existing or more than 2 years old",10,722511,"Y","Subchapter S Corporation",31583.07,"08/19/2021"
170564,9004508301,"ONE STOP PHARMACY CORPORATION","176 E 161st St","Bronx","NY","10451-3508","03/19/2022","Paid in Full",31200,31200,31200,"Bank of Hope","Y","Existing or more than 2 years old",5,446110,"Y","Corporation",31510.29,"02/08/2022"
173944,6207057406,"846 GROCERY CORP","846 Gerard Avenue","Bronx","NY","10451","07/14/2021","Paid in Full",30337,30337,30337,"Celtic Bank Corporation","Y","Existing or more than 2 years old",6,721199,"Y","Corporation",30671.95,"06/22/2021"
174133,7686927201,"NOSOTROS HOUSING DEVELOPMENT FUND CORPORATION","1465 Nelson Avenue,","Bronx","NY","10452","02/18/2022","Paid in Full",30300,30300,30300,"Loan Source Incorporated","Y","Existing or more than 2 years old",5,531110,"Y","Corporation",30681.03,"08/16/2021"
177638,5341897407,"ARMANI PALLETS LLC","1173 Worthen ST","Bronx","NY","10474","10/21/2021","Paid in Full",29668,29668,29668,"TD Bank, National Association","Y","Existing or more than 2 years old",5,484220,"Y","Limited  Liability Company(LLC)",30068.52,"09/13/2021"
178461,4671927401,"CRYSTAL-SMITH LLC","199 Lincoln Avenue Suite 203","Bronx","NY","10454","07/14/2021","Paid in Full",29492,29492,29492,"WebBank","Y","Existing or more than 2 years old",5,423220,"Y","Limited  Liability Company(LLC)",29826.24,"06/28/2021"
180591,7550317305,"NYC TRUCKING CORP","532 Bryant Ave","Bronx","NY","10474-6924","03/31/2021","Paid in Full",29138.7,29138.7,29138.7,"Ponce Bank","Y","Existing or more than 2 years old",6,424480,"Y","Corporation",29380.59,"03/05/2021"
190269,1434427908,"MYTAX2GO","605 East 138th Street","Bronx","NY","10454","11/20/2021","Paid in Full",27079,27079,27079,"TD Bank, National Association","Y","Existing or more than 2 years old",5,541213,"Y","Limited  Liability Company(LLC)",27437.8,"10/04/2021"
193546,3460287710,"LONGFELLOW OWNERS LLC-SBA SMALL 7A TERM","1325 Lafayette Ave","Bronx","NY","10474","02/23/2021","Paid in Full",26384,26384,26384,"TD Bank, National Association","Y","Existing or more than 2 years old",9,NULL,"Y","Limited  Liability Company(LLC)",26562.09,"01/07/2021"
194445,6308787804,"LA NUEVA WIN HING RESTAURANT, INC.","40 E 167th St","Bronx","NY","10452-8207","02/02/2022","Paid in Full",26200,26200,26200,"New York Business Development Corporation","Y","Existing or more than 2 years old",6,722511,"Y","Corporation",26451.23,"06/01/2021"
195103,6053408505,"BAY'S PIZZA INC","553 E 138th St","Bronx","NY","10454-3227","06/16/2022","Paid in Full",26057,26057,26057,"JPMorgan Chase Bank, National Association","Y","Existing or more than 2 years old",6,722513,"Y","Corporation",26374.07,"05/25/2022"
198126,9839427107,"BOYNTON WHEELER LP","1325 LAFAYETTE AVE BSMT 1","Bronx","NY","10474","12/19/2020","Paid in Full",25482,25482,25482,"TD Bank, National Association","Y","Existing or more than 2 years old",10,531311,"Y","Partnership",25632.06,"11/27/2020"
199281,9449977309,"132 VERMILEA CORP","437 Barreto Street","Bronx","NY","10474","03/23/2022","Paid in Full",25213,25213,25213,"Cross River Bank","N","Existing or more than 2 years old",6,484210,"Y","Corporation",25638.51,"01/19/2022"
203104,2287128106,"CHRISTINA NAIL SPA INC","500 E 149th Street","Bronx","NY","10455-1359","03/19/2022","Paid in Full",24743,24743,24743,"Kabbage, Inc.","Y","Existing or more than 2 years old",5,812113,"Y","Corporation",25073.81,"11/17/2021"
